date,areaName,areaCode,hospitalCases,newAdmissions,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newPillarTwoTestsByPublishDate,newDeaths28DaysByPublishDate,newPillarOneTestsByPublishDate,newCasesLFDConfirmedPCRBySpecimenDate,newCasesPCROnlyBySpecimenDate,newPCRTestsByPublishDate,newLFDTests,newCasesLFDOnlyBySpecimenDate,cumPeopleVaccinatedSecondDoseByPublishDate,newCasesByPublishDate
2021-12-01,England,E92000001,5829,,,,,141,,,,,,,,41519
2021-11-30,England,E92000001,6123,,9696,27,833636,143,80183,146,1459,375784,538035,8091,38909382,33590
2021-11-29,England,E92000001,6094,669,39448,68,864358,21,75309,3046,29508,230727,761748,6894,38881449,34906
2021-11-28,England,E92000001,5890,607,31611,69,856023,40,57408,5961,22010,269068,718965,3640,38858848,32136
2021-11-27,England,E92000001,5852,609,26795,60,612012,112,56328,4136,20825,332966,366477,1834,38836366,35798
2021-11-26,England,E92000001,5992,620,32626,82,724480,125,71256,4693,26553,344583,480285,1380,38805750,42272
2021-11-25,England,E92000001,6068,650,36089,101,868365,113,72884,5474,29404,391613,591484,1211,38783827,40382
2021-11-24,England,E92000001,6062,752,38809,82,911754,129,72292,6555,31113,363014,681587,1141,38764212,36511
2021-11-23,England,E92000001,6257,659,39965,109,735461,140,81230,6439,32592,354385,500866,934,38744164,36550
2021-11-22,England,E92000001,6424,602,41821,85,837375,34,75059,7162,33545,273436,687277,1114,38725602,36478
2021-11-21,England,E92000001,6322,648,30996,85,846969,47,56469,7664,22337,313259,659472,995,38710035,33513
2021-11-20,England,E92000001,6191,611,29162,97,601980,133,62255,5269,23154,340399,353207,739,38698795,36339
2021-11-19,England,E92000001,6310,637,32437,103,702743,123,73297,5178,26383,341853,462554,876,38677203,37006
2021-11-18,England,E92000001,6336,697,36205,105,816673,144,78075,5893,29222,351471,585055,1090,38658480,39315
2021-11-17,England,E92000001,6412,727,37391,98,868492,159,75576,6703,29663,355078,649152,1025,38641051,30638
2021-11-16,England,E92000001,6623,713,37624,128,644805,190,71274,6307,30379,279219,473776,938,38622540,30853
2021-11-15,England,E92000001,6864,695,41506,133,781324,29,68473,7087,33332,219207,678664,1087,38605643,31440
2021-11-14,England,E92000001,6707,678,28908,99,769433,51,58232,7333,20518,246668,652368,1057,38590118,29404
2021-11-13,England,E92000001,6639,655,26799,111,548317,141,59962,4708,21354,296110,339500,737,38578159,33493
2021-11-12,England,E92000001,6777,729,30558,116,674320,122,66869,4858,24895,306700,462426,805,38555353,33155
2021-11-11,England,E92000001,6861,797,32898,121,811211,151,68429,5420,26428,337499,584163,1050,38536124,35472
2021-11-10,England,E92000001,6961,821,34558,119,847205,170,80943,6086,27383,337428,650795,1089,38516564,31541
2021-11-09,England,E92000001,7053,808,33884,121,670138,230,86353,5773,27262,325441,466116,849,38472568,27872
2021-11-08,England,E92000001,7075,850,35282,125,788631,32,71748,5952,28285,227118,680677,1045,38454360,24979
2021-11-07,England,E92000001,6910,739,24878,133,730324,47,61448,6101,17876,185707,679829,901,38436962,23779
2021-11-06,England,E92000001,6874,688,22053,137,533830,125,64822,3894,17524,286894,339257,635,38425760,26250
2021-11-05,England,E92000001,7072,686,23824,123,663001,151,70142,3607,19563,321985,439188,654,38402891,28490
2021-11-04,England,E92000001,7201,717,26062,120,768946,152,67843,4118,20980,298778,579533,964,38383854,30166
2021-11-03,England,E92000001,7291,807,28413,128,818465,181,75894,4724,22738,305769,651775,951,38366687,34317
2021-11-02,England,E92000001,7510,891,30403,127,689249,255,81788,4646,24835,333292,475888,922,38349313,28531
2021-11-01,England,E92000001,7535,899,36736,136,779256,13,70460,5956,29709,191194,711753,1071,38331506,32081
2021-10-31,England,E92000001,7311,860,28900,150,813088,59,53170,6972,20781,200373,743488,1147,38315755,31479
2021-10-30,England,E92000001,7155,741,27681,131,554859,138,62267,4887,21992,286509,359279,802,38304291,36204
2021-10-29,England,E92000001,7113,840,33258,129,669237,148,64733,5490,26801,318376,445657,967,38281812,36853
2021-10-28,England,E92000001,7019,888,34351,153,704594,124,65816,5800,27351,316565,492160,1200,38262637,33903
2021-10-27,England,E92000001,6951,955,35767,130,731232,169,77196,6700,27864,327483,525991,1203,38243051,37502
2021-10-26,England,E92000001,6883,911,34547,129,654086,208,78650,6302,27193,325299,443645,1052,38224311,32280
2021-10-25,England,E92000001,6801,865,39125,112,658297,34,70378,6790,31162,201368,570568,1173,38204812,33309
2021-10-24,England,E92000001,6515,829,29486,120,682236,34,57416,6602,21833,291623,498038,1051,38186561,33221
2021-10-23,England,E92000001,6386,756,29174,130,591601,125,64713,5536,22725,322218,364170,913,38172423,41259
2021-10-22,England,E92000001,6405,760,33801,102,750884,143,72661,5789,27000,377017,478360,1012,38144896,41745
2021-10-21,England,E92000001,6366,799,37791,111,836716,66,74929,6585,29918,366879,590418,1288,38122473,44363
2021-10-20,England,E92000001,6299,903,43115,117,930840,134,76009,8465,33385,382797,688590,1265,38100446,41498
2021-10-19,England,E92000001,6099,894,43690,103,714638,189,83352,7951,34546,347585,493421,1193,38078745,36712
2021-10-18,England,E92000001,5938,896,48243,95,779275,22,73023,8709,38270,218106,687411,1264,38057604,39473
2021-10-17,England,E92000001,5623,828,36772,103,839611,41,57579,10049,25538,275463,698308,1185,38036936,38543
2021-10-16,England,E92000001,5385,743,31037,96,628141,123,62596,6330,23839,373198,349410,868,38022391,39624
2021-10-15,England,E92000001,5363,752,35915,105,753607,94,71797,5927,29139,397239,460236,849,37991951,37691
2021-10-14,England,E92000001,5289,730,38464,110,832860,110,62252,6630,30764,343887,599598,1070,37966571,38488
2021-10-13,England,E92000001,5246,752,39762,89,881160,101,77296,7670,31128,348980,679444,964,37943082,36458
2021-10-12,England,E92000001,5213,760,40064,85,715991,147,83690,6980,32173,359188,482847,911,37918254,33287
2021-10-11,England,E92000001,5206,685,42279,90,809781,15,73334,7521,33659,238996,699793,1099,37895807,32349
2021-10-10,England,E92000001,5077,606,30922,70,819912,34,59418,8449,21358,250852,711478,1115,37875457,31096
2021-10-09,England,E92000001,4921,613,26601,90,593564,111,61009,4869,21039,347096,338242,693,37859814,31259
2021-10-08,England,E92000001,4975,619,29268,90,725465,109,71546,4680,23799,380689,447964,789,37830063,32157
2021-10-07,England,E92000001,4962,634,31568,90,824241,71,67285,5236,25390,343860,596541,942,37805057,33305
2021-10-06,England,E92000001,5009,632,31915,74,882679,99,75640,6040,24979,343882,684878,896,37780849,33450
2021-10-05,England,E92000001,5006,658,31592,86,693419,140,78194,5206,25610,346256,466963,776,37756714,28846
2021-10-04,England,E92000001,4909,627,35791,80,814888,13,66433,6293,28584,239716,697419,914,37732461,28251
2021-10-03,England,E92000001,4778,577,26629,75,870621,30,54031,7508,18190,261360,747470,931,37707715,25176
2021-10-02,England,E92000001,4652,549,21442,74,585493,103,64154,4222,16666,323203,357196,554,37690213,26794
2021-10-01,England,E92000001,4799,520,23669,98,754970,80,69513,3909,19110,354686,470653,650,37659364,28836
2021-09-30,England,E92000001,4916,552,26248,81,870198,87,61675,4438,20853,364675,616499,957,37629371,29826
2021-09-29,England,E92000001,5017,625,28141,84,929434,111,80308,5271,21791,359018,724228,1079,37599053,29036
2021-09-28,England,E92000001,5126,596,29021,76,685813,141,81953,4795,23284,319615,491536,942,37569146,28808
2021-09-27,England,E92000001,5121,617,33899,77,870485,23,64157,5826,26833,260722,733474,1240,37539476,29329
2021-09-26,England,E92000001,4949,535,26267,68,953390,37,59028,7235,17737,303030,798338,1295,37510886,25538
2021-09-25,England,E92000001,5100,520,22657,91,616688,104,65559,4327,17425,317444,398191,905,37489410,28087
2021-09-24,England,E92000001,5036,557,25219,91,748424,120,70348,4046,20241,353458,504953,932,37446361,28199
2021-09-23,England,E92000001,5214,577,27716,102,888051,131,70864,4619,22055,358918,655053,1042,37406794,29045
2021-09-22,England,E92000001,5406,572,28187,101,771861,121,81906,5314,21722,289850,715610,1151,37365066,27317
2021-09-21,England,E92000001,5543,602,29951,92,699571,174,89212,4839,24076,331878,501967,1036,37325390,24973
2021-09-20,England,E92000001,5727,606,31456,102,833383,27,73433,5728,24580,221693,748235,1148,37286142,26905
2021-09-19,England,E92000001,5695,572,24262,90,971159,34,46458,6931,16155,246345,864383,1176,37244704,22173
2021-09-18,England,E92000001,5688,560,20522,92,574061,131,57411,4003,15814,274337,394308,705,37214246,22956
2021-09-17,England,E92000001,5910,540,21917,122,710754,130,62580,3695,17479,294975,517355,743,37148112,23265
2021-09-16,England,E92000001,6081,672,21734,113,847517,123,76228,3712,17079,320155,662519,943,37092855,22949
2021-09-15,England,E92000001,6306,691,21957,101,928864,151,84684,3803,17259,327910,771939,895,37033914,22078
2021-09-14,England,E92000001,6344,701,22145,118,697906,152,82212,3598,17728,296044,539772,819,36976818,19739
2021-09-13,England,E92000001,6424,688,24635,71,885876,32,69946,4006,19706,199146,845134,923,36920297,21077
2021-09-12,England,E92000001,6253,658,17510,103,901824,42,59097,4336,12247,220006,831430,927,36865490,19913
2021-09-11,England,E92000001,6206,649,16605,103,589719,143,61499,2876,13091,284646,401553,638,36822588,23825
2021-09-10,England,E92000001,6400,680,20526,108,898839,114,68165,3197,16466,289214,771823,863,36736520,26653
2021-09-09,England,E92000001,6254,790,23904,128,1034276,138,70290,3887,18935,310979,913670,1082,36657757,27049
2021-09-08,England,E92000001,6302,900,25063,113,1043840,158,75232,4273,19769,313870,948249,1021,36571165,29286
2021-09-07,England,E92000001,6244,801,27346,125,961333,183,84205,4598,21670,278107,933787,1078,36495617,27545
2021-09-06,England,E92000001,6375,831,32367,121,1175617,28,71735,5354,25816,218554,1239196,1197,36422613,27202
2021-09-05,England,E92000001,6167,691,22975,116,855365,58,57932,4594,17367,242935,746904,1014,36352855,27022
2021-09-04,England,E92000001,6043,752,22967,110,595475,102,61281,3582,18557,285532,411952,828,36293590,29614
2021-09-03,England,E92000001,6195,688,28111,127,1034908,96,65082,4412,22615,310993,924942,1084,36177263,31726
2021-09-02,England,E92000001,6186,788,29981,99,981437,144,67877,4853,23874,322140,847992,1254,36079141,28686
2021-09-01,England,E92000001,6236,835,30936,96,849274,184,73604,5069,24766,269597,748749,1101,35975144,24723
2021-08-31,England,E92000001,6293,798,32858,95,740287,36,69046,5177,26420,213329,668211,1261,35873058,20967
2021-08-30,England,E92000001,6002,808,24400,90,544567,42,55762,4342,19015,147493,500938,1043,35768055,21324
2021-08-29,England,E92000001,5855,701,18738,106,569123,49,50279,3343,14470,204941,455360,925,35715918,22501
2021-08-28,England,E92000001,5756,688,19694,103,592295,119,50032,3080,15642,229021,441068,972,35651208,25118
2021-08-27,England,E92000001,5889,749,23711,106,735654,86,60509,3243,19248,276054,554708,1220,35534625,27545
2021-08-26,England,E92000001,5893,777,25896,105,784879,121,62603,3698,20953,300758,589531,1245,35419376,29417
2021-08-25,England,E92000001,5922,843,27246,87,755123,135,74305,4153,21933,308857,563137,1160,35292109,27350
2021-08-24,England,E92000001,5911,818,27550,103,574977,152,84608,4162,22381,261255,435284,1007,35149802,23474
2021-08-23,England,E92000001,6000,831,29669,96,596699,29,69618,4432,24105,176642,531530,1132,35040581,24158
2021-08-22,England,E92000001,5749,726,21952,101,541293,33,58188,4018,16967,208231,433519,967,34927576,25952
2021-08-21,England,E92000001,5575,757,22148,87,527077,97,60802,3483,17787,277407,336332,878,34831330,26982
2021-08-20,England,E92000001,5576,733,25004,101,614677,92,68117,3905,20045,279472,430610,1054,34657292,29576
2021-08-19,England,E92000001,5554,824,28392,92,673730,95,62666,4248,22938,295836,475724,1206,34511819,29762
2021-08-18,England,E92000001,5514,795,30693,78,640001,86,78479,4755,24782,294864,463442,1156,34357933,28648
2021-08-17,England,E92000001,5437,832,30333,96,573473,154,82337,4593,24624,286082,403918,1116,34210364,22712
2021-08-16,England,E92000001,5429,776,30153,72,576938,20,71310,4758,24201,159671,528580,1194,34089456,23171
2021-08-15,England,E92000001,5115,719,20841,72,549512,54,54283,4009,15852,204582,442669,980,33971458,22859
2021-08-14,England,E92000001,4973,689,20920,79,545588,83,60377,3525,16480,255453,351586,915,33869577,26700
2021-08-13,England,E92000001,5076,694,24465,87,683472,86,67696,3724,19705,287594,465513,1036,33695859,28679
2021-08-12,England,E92000001,5029,758,27069,91,675509,81,67163,4279,21578,287086,493629,1212,33552169,28093
2021-08-11,England,E92000001,5073,747,28491,80,681380,91,76346,4727,22586,294610,504466,1178,33386744,26647
2021-08-10,England,E92000001,5096,760,26987,69,598607,132,79419,4312,21572,275294,438029,1103,33240790,20630
2021-08-09,England,E92000001,5098,665,27633,68,610007,26,69374,4444,21988,166956,553134,1201,33117069,21915
2021-08-08,England,E92000001,4939,651,19707,65,571369,35,54442,3969,14780,206457,465687,958,33004783,24196
2021-08-07,England,E92000001,4817,630,19504,85,555224,88,59473,3336,15255,277833,364608,913,32910451,25877
2021-08-06,England,E92000001,4879,657,24299,79,655783,81,68076,3771,19442,272291,482132,1086,32725582,28321
2021-08-05,England,E92000001,4894,693,27515,89,685289,69,68848,4346,21910,277574,516230,1259,32588410,26512
2021-08-04,England,E92000001,4944,747,28244,70,686133,101,81955,4694,22308,309350,503280,1242,32444987,26393
2021-08-03,England,E92000001,5116,680,26412,66,579689,123,80158,4347,20966,262279,433894,1099,32313406,19012
2021-08-02,England,E92000001,5309,686,25979,66,611220,17,68352,4154,20628,153293,570935,1197,32204802,19175
2021-08-01,England,E92000001,5090,645,18216,73,554767,52,56605,3718,13509,175952,485802,989,32110377,21645
2021-07-31,England,E92000001,5057,593,18003,76,566687,54,65336,2935,14124,286123,375910,944,32017961,23949
2021-07-30,England,E92000001,5111,650,21586,93,704280,55,68713,3297,17138,303334,502730,1151,31835136,26241
2021-07-29,England,E92000001,5056,758,24793,65,721215,67,68586,3721,19651,292586,543397,1421,31692421,27524
2021-07-28,England,E92000001,5182,728,26348,70,752669,73,76237,4277,20713,323902,557853,1358,31546949,24367
2021-07-27,England,E92000001,5163,816,25436,59,650023,121,82240,4165,19954,302574,471414,1317,31415901,20290
2021-07-26,England,E92000001,5055,830,25925,65,686298,12,70692,4069,20387,183144,627774,1469,31297573,22181
2021-07-25,England,E92000001,4725,836,19232,63,676278,26,54489,3738,14281,220722,573041,1213,31181649,25434
2021-07-24,England,E92000001,4476,734,19848,64,628757,74,63467,3326,15474,306696,421796,1048,31087214,28968
2021-07-23,England,E92000001,4401,725,24013,70,789558,56,69832,3651,19158,337643,562100,1204,30909329,32792
2021-07-22,England,E92000001,4230,827,27166,64,872197,58,75833,4124,21621,344594,659167,1421,30754568,35939
2021-07-21,England,E92000001,4063,783,31046,44,883385,63,79404,5165,24406,344516,687572,1475,30598323,39504
2021-07-20,England,E92000001,3894,805,35122,49,739757,82,77491,5958,27682,336800,526322,1482,30452042,43261
2021-07-19,England,E92000001,3813,752,42439,71,959120,15,67301,7351,33135,294628,792518,1953,30325879,34657
2021-07-18,England,E92000001,3546,698,32495,56,914994,21,51378,7607,23055,247570,813635,1833,30213335,44777
2021-07-17,England,E92000001,3442,622,34641,44,672734,35,52769,6377,26703,348213,418179,1561,30107863,50955
2021-07-16,England,E92000001,3367,593,50131,39,853837,42,64017,8104,40167,374228,583239,1860,29911441,47360
2021-07-15,England,E92000001,3241,658,56371,44,1035833,44,64801,9884,43972,380469,783577,2515,29747505,44523
2021-07-14,England,E92000001,3110,636,49284,32,1048150,36,79315,9798,37290,346102,877124,2196,29580353,37895
2021-07-13,England,E92000001,2970,621,42312,38,776379,45,81449,8469,31950,334563,577022,1893,29429018,32883
2021-07-12,England,E92000001,2798,610,39635,32,942513,6,68356,8388,29316,257362,830028,1931,29304113,30619
2021-07-11,England,E92000001,2564,502,26939,25,997240,25,51393,6533,19032,290044,864598,1374,29204296,28421
2021-07-10,England,E92000001,2429,442,24929,32,632504,26,61984,4914,18971,331885,403025,1044,29123541,29732
2021-07-09,England,E92000001,2352,451,28459,38,772509,22,68659,4726,22548,336195,545214,1185,28948796,31231
2021-07-08,England,E92000001,2209,488,29277,26,950034,31,73310,5039,22814,327216,761659,1424,28805193,28421
2021-07-07,England,E92000001,2144,461,33510,23,1063493,28,82777,5749,26322,345052,902120,1439,28669736,27516
2021-07-06,England,E92000001,1998,458,30961,19,809999,30,80601,5737,23955,326368,618038,1269,28541510,25295
2021-07-05,England,E92000001,1888,416,29528,23,1023171,7,73066,5949,22083,259960,911192,1496,28432362,23286
2021-07-04,England,E92000001,1744,390,21322,22,1134460,15,60551,5769,14231,278549,1012598,1322,28324385,20454
2021-07-03,England,E92000001,1636,323,20205,23,537018,15,65322,4183,15041,285238,357479,981,28238637,21317
2021-07-02,England,E92000001,1611,307,21741,25,722474,22,71021,4026,16709,314919,519499,1006,28072972,22393
2021-07-01,England,E92000001,1560,295,23615,18,961716,16,72876,4237,18085,328563,774394,1293,27930697,22948
2021-06-30,England,E92000001,1500,331,23404,20,1088370,11,74016,4633,17567,343350,930299,1204,27776520,21293
2021-06-29,England,E92000001,1445,283,22677,20,722844,22,82813,4058,17451,306832,554452,1168,27637527,16802
2021-06-28,England,E92000001,1465,244,22875,9,962433,3,69412,4331,17149,207364,900357,1395,27522043,18702
2021-06-27,England,E92000001,1331,226,15044,17,1084868,9,57625,4083,9772,242211,1030073,1189,27414725,11560
2021-06-26,England,E92000001,1276,223,13180,9,503018,20,63221,2743,9612,286148,318068,825,27316732,15136
2021-06-25,England,E92000001,1284,206,14519,19,705856,15,69224,2658,10942,311946,501293,919,27144408,13498
2021-06-24,England,E92000001,1274,194,14711,19,926194,16,70219,2689,11042,307749,751776,980,27011033,13068
2021-06-23,England,E92000001,1255,214,14397,5,997225,13,77492,2879,10631,297761,889594,887,26874354,12765
2021-06-22,England,E92000001,1301,182,13218,9,664437,23,84845,2605,9878,287604,512878,735,26745666,9096
2021-06-21,England,E92000001,1290,181,12407,13,895781,5,72729,2386,9248,199594,839058,773,26534936,8766
2021-06-20,England,E92000001,1168,171,8005,20,1025695,6,56734,1861,5524,207254,1006612,620,26534936,7778
2021-06-19,England,E92000001,1143,178,6940,19,479905,12,64826,1401,5100,280982,297673,439,26456342,8954
2021-06-18,England,E92000001,1170,185,8506,10,651366,9,70094,1550,6383,283215,471460,573,26260696,9185
2021-06-17,England,E92000001,1122,202,9200,5,896882,15,71651,1780,6726,289399,741390,694,26098666,9371
2021-06-16,England,E92000001,1057,177,9154,10,948230,8,82758,1854,6641,284800,859486,659,25922508,7642
2021-06-15,England,E92000001,1030,188,8868,13,625430,8,86485,1702,6672,269253,490527,494,25741881,6486
2021-06-14,England,E92000001,993,185,8690,8,822290,3,63544,1922,6149,127128,830248,619,25566178,6647
2021-06-13,England,E92000001,947,187,5908,7,942861,7,54562,1624,3746,179220,945295,538,25391916,6269
2021-06-12,England,E92000001,915,137,5257,13,425898,10,63314,1117,3825,243118,278214,315,25238467,6601
2021-06-11,England,E92000001,884,144,6339,6,612630,16,67219,1104,4816,263772,452360,419,24961654,6782
2021-06-10,England,E92000001,906,162,6530,9,808442,5,66422,1126,4892,266534,686448,512,24710013,6436
2021-06-09,England,E92000001,876,158,6719,4,931372,5,76907,1264,4958,257189,849287,497,24461363,6201
2021-06-08,England,E92000001,879,147,6427,7,574686,13,76364,1190,4854,249500,446656,383,24207450,5250
2021-06-07,England,E92000001,860,131,6596,4,819458,0,68429,1180,4923,157994,799678,493,23954753,4913
2021-06-06,England,E92000001,807,121,4611,5,1127651,4,58992,1133,2961,163733,1142942,517,23710646,4405
2021-06-05,England,E92000001,782,96,3861,4,379429,12,64877,742,2853,214656,265123,266,23493155,4810
2021-06-04,England,E92000001,805,96,4737,8,538942,9,63005,883,3555,230097,408186,299,23077511,5102
2021-06-03,England,E92000001,779,93,4973,10,673338,13,62569,933,3665,242923,545249,375,22755909,4310
2021-06-02,England,E92000001,801,101,4919,9,710865,11,72127,987,3622,241925,617260,310,22442383,3486
2021-06-01,England,E92000001,776,115,4334,3,537077,0,69295,822,3203,161299,493009,309,22153420,2539
2021-05-31,England,E92000001,773,98,3065,7,508152,0,51759,651,2144,106953,518604,270,21874135,2854
2021-05-30,England,E92000001,755,80,2533,7,515341,6,53553,561,1692,134809,511419,280,21719461,2621
2021-05-29,England,E92000001,748,69,2393,5,389050,6,53683,420,1775,216514,251286,198,21540037,2747
2021-05-28,England,E92000001,743,92,2827,6,547504,8,62102,393,2106,227054,414930,328,21158221,3434
2021-05-27,England,E92000001,742,83,2962,7,820563,8,64079,442,2157,261437,686699,363,20777366,2936
2021-05-26,England,E92000001,745,95,3068,10,975565,8,78223,502,2162,260113,904061,404,20403324,2540
2021-05-25,England,E92000001,765,88,2690,3,596595,13,83955,413,2017,252641,476787,260,20034770,2081
2021-05-24,England,E92000001,797,98,2618,8,828484,3,73193,413,1837,134913,840132,368,19707303,1972
2021-05-23,England,E92000001,756,77,1842,6,1056153,3,56643,432,1004,141849,1115081,406,19427631,1734
2021-05-22,England,E92000001,730,75,1536,3,392603,6,65333,263,1101,217701,275654,172,19207569,2242
2021-05-21,England,E92000001,766,85,1799,7,589006,6,68603,253,1301,249510,444197,245,18699556,2303
2021-05-20,England,E92000001,749,98,1914,5,854163,6,66086,225,1398,227532,764871,291,18328096,2307
2021-05-19,England,E92000001,757,93,2173,3,1029131,3,80410,324,1470,262431,973510,379,17960954,2151
2021-05-18,England,E92000001,749,90,2141,3,592338,5,81372,310,1574,242254,480693,257,17651934,2008
2021-05-17,England,E92000001,798,74,2244,5,861372,3,65350,320,1545,117361,883589,379,17382651,1645
2021-05-16,England,E92000001,801,59,1522,6,978921,3,56200,353,827,130079,1117458,342,17172209,1471
2021-05-15,England,E92000001,810,70,1261,7,354009,7,65468,211,905,215215,240060,145,17014522,1614
2021-05-14,England,E92000001,818,72,1457,3,556282,15,65479,203,1070,229119,424286,184,16660758,1828
2021-05-13,England,E92000001,845,74,1655,4,858017,8,68508,249,1043,234090,762757,363,16314333,2229
2021-05-12,England,E92000001,907,93,1768,9,1031328,11,76045,220,1158,248982,987666,390,15935683,1804
2021-05-11,England,E92000001,921,79,1746,13,575437,18,82560,264,1179,245013,461175,303,15533159,2117
2021-05-10,England,E92000001,944,76,2176,8,846984,0,69450,319,1395,115752,875719,462,15224244,2009
2021-05-09,England,E92000001,933,76,1849,8,1205318,2,59748,342,866,159089,1265412,641,15031521,1418
2021-05-08,England,E92000001,948,80,1205,8,390476,5,67109,208,843,235911,256517,154,14871208,1742
2021-05-07,England,E92000001,973,77,1561,8,575588,13,70721,224,1102,241796,444332,235,14466698,2142
2021-05-06,England,E92000001,976,88,1808,7,937762,12,67717,265,1136,267394,789412,407,14051967,2194
2021-05-05,England,E92000001,1032,96,2041,12,1064100,27,78446,336,1246,252818,1021932,459,13632735,1906
2021-05-04,England,E92000001,1093,76,2044,9,733543,3,77477,342,1301,162491,709736,401,13284182,1659
2021-05-03,England,E92000001,1096,98,1695,8,974794,1,57938,294,896,102171,1061982,505,13072543,1453
2021-05-02,England,E92000001,1082,92,1215,10,725412,13,55286,266,619,136617,787388,330,12972758,1377
